academicDepartment,subjectArea,schoolBulletinPrefix,courseNumber,name,pointsMin,pointsMax
BIOS,BIOL,W,3031,Genetics,3,0
BIOS,BIOL,W,3034,Biotechnology,3,0
BIOS,BIOL,W,3041,Cell Biology,3,0
BIOS,BIOL,W,3050,Project Laboratory In Protein Biochemistry,5,0
BIOS,BIOL,C,3052,Project Laboratory in Molecular Genetics,5,0
BIOS,BIOL,W,3073,Cellular and Molecular Immunology,3,0
BIOS,HPSC,W,3201,Philosophy and History of Evolutionary Biology,3,0
BIOS,BIOL,W,3208,Introduction to Evolutionary Biology,3,0
BIOS,BIOL,W,3500,Independent Biological Research,3,4
BIOS,BIOC,C,3501,Biochemistry: Structure and Metabolism,4,0
BIOS,BIOC,C,3512,Molecular Biology,3,0
BIOS,BIOL,C,3799,Molecular Biology of Cancer,3,0
BIOS,BIOL,G,4048,Genetic Approaches In Cell and Developmental Biology,3,0
BIOS,BIOL,W,4065,Molecular Biology of Disease,3,0
CBME,BMEN,E,1001,Engineering In Medicine,3,0
CBME,BMEN,E,4001,"Quantitative physiology, I: cells and molecules",3,0
CBME,BMEN,E,4002,"Quantitative physiology, II: organ systems",3,0
CBME,BMEN,E,3320,Fluid biomechanics,3,0
CBME,BMCH,E,3500,Biological transport and rate processes,3,0
CBME,BMEN,E,3810,"Biomedical engineering laboratory, I",3,0
CBME,BMEN,E,3830,"Biomedical engineering laboratory, III",3,0
CBME,BMEN,E,3910,"Biomedical engineering design, I and II",4,0
CBME,BMEN,E,3998,Projects in biomedical engineering,1,3
CBME,BMEN,E,4010,Ethics for biomedical engineers,2,0
CBME,ECBM,E,4060,Introduction to genomic information,3,0
CBME,BMEN,E,4301,"Structure, mechanics, and adaptation of bone",3,0
CBME,BMEN,E,4305,Cardiac Mechanics,3,0
CBME,BMEN,E,4340,Biomechanics of cells,3,0
CBME,BMEE,E,4400,Wavelet applications in biomedical image and signal processing,3,0
CBME,BMEN,E,4410,Ultrasound in diagnostic imaging,3,0
CBME,BMEN,E,4501,"Tissue engineering, I: biomaterials and scaffold design",3,0
CBME,BMEN,E,4502,"Tissue engineering, II: biological tissue substitutes",3,0
CBME,BMEN,E,4540,Bioelectrochemistry,3,0
CBME,BMEN,E,4560,Dynamics of biological membranes,3,0
CBME,BMME,E,4702,Advanced musculoskeletal biomechanics,3,0
CBME,BMEN,E,4737,Computer control of medical instrumentation,3,0
CBME,CBMF,W,4761,Computational genomics,3,0
CBME,BMCH,E,4810,Artificial organs,3,0
CBME,BMEN,E,4894,Biomedical imaging,3,0
CBME,BMEN,E,6301,Modeling of biological tissues with finite elements,3,0
CBME,BMEN,E,6400,Analysis and quantification of medical images,3,0
CBME,BMEN,E,9100,Masters research,1,6
CBME,BMEN,E,9500,Doctoral research,1,6
CBME,BMEN,E,9700,Biomedical engineering seminar,0,0
CBME,BMEN,E,9800,Doctoral research instruction,3,12
CBME,BMEN,E,9900,Doctoral dissertation,0,0
CEAC,CHEE,E,3010,Principles of chemical engineering thermodynamics,3,0
CEAC,CHEE,E,4530,Corrosion of metals,3,0
CEAC,CHEN,E,6620,Physical chemistry of macromolecules,3,0
CEAC,CHEN,E,2100,Introduction to Chemical Engineering,3,0
CEAC,CHEN,E,3110,Transport phenomena I,3,0
CEAC,CHEN,E,3120,Transport phenomena II,3,0
CEAC,CHEN,E,3210,Chemical engineering thermodynamics,3,0
CEAC,CHEN,E,4010,Mathematical Methods in Chemical Engineering,3,0
CEAC,CHEN,E,4110,Transport phenomena III,3,0
CEAC,CHEN,E,4230,Reaction kinetics and reactor design,3,0
CEAC,CHEN,E,4410,Environmental control technology,3,0
CEAC,CHEN,E,4510,Process and product design II,4,0
CEAC,CHEN,E,9000,Chemical engineering colloquium,0,0
CEEM,CIEN,E,1201,The art of structural design,3,0
CEEM,CIEN,E,3121,Structural analysis,3,0
CEEM,CIEN,E,3125,Structural design,3,0
CEEM,CIEN,E,3126,Computer-aided structural design,1,0
CEEM,CIEN,E,3127,Structural design projects,3,0
CEEM,CIEN,E,3128,Design projects,4,0
CEEM,CIEN,E,3141,Soil mechanics,4,0
CEEM,CIEE,E,3250,Hydrosystems engineering,3,0
CEEM,CIEN,E,4010,Transportation engineering,3,0
CEEM,CIEN,E,4021,Elastic and plastic analysis of structures,3,0
CEEM,CIEN,E,4022,Bridge design and management,3,0
CEEM,CIEN,E,4100,Earthquake and wind engineering,3,0
CEEM,CIEN,E,4128,Civil engineering management,3,0
CEEM,CIEN,E,4129,Managing engineering and construction processes,3,0
CEEM,CIEN,E,4130,Design of construction systems,3,0
CEEM,CIEE,E,4163,Sustainable Water Treatment and Reuse,3,0
CEEM,CIEN,E,4212,Structural assessment and failure,3,0
CEEM,CIEN,E,4213,Elastic and inelastic buckling of structures,3,0
CEEM,CIEN,E,4226,Advanced design of steel structures,3,0
CEEM,CIEN,E,4232,Advanced design of concrete structures,3,0
CEEM,CIEN,E,4241,Geotechnical engineering fundamentals,3,0
CEEM,CIEN,E,4242,Geotechnical Earthquake Engineering,3,0
CEEM,CIEN,E,4243,Foundation engineering,3,0
CEEM,CIEN,E,4244,Geosynthetics and waste containment,3,0
CEEM,CIEN,E,4246,Earth retaining structures,3,0
CEEM,CIEN,E,4250,Waste containment design and practice,3,0
CEEM,CIEE,E,4252,Environmental engineering,3,0
CEEM,CIEN,E,4253,Finite elements in geotechnical engineering,3,0
CEEM,CIEE,E,4257,Contaminant transport in subsurface systems,3,0
CEEM,CIEN,E,6232,Advanced topics in concrete engineering,3,0
CEEM,CIEN,E,6246,Advanced soil mechanics,3,0
CEEM,CIEN,E,6248,Experimental soil mechanics,3,0
CEEM,ENME,E,6333,Finite element analysis II,3,0
CEEM,CIEN,E,9101,Civil engineering research,1,4
CEEM,CIEN,E,9120,Independent studies in flight sciences,3,0
CEEM,CIEN,E,9130,Independent studies in construction,3,0
CEEM,CIEN,E,9165,Independent studies in environmental engineering,4,0
CEEM,CIEN,E,9201,Civil engineering reports,1,4
CEEM,CIEN,E,9800,Doctoral research instruction,3,12
CEEM,CIEN,E,9900,Doctoral dissertation,0,0
CEEM,ENME,E,3105,Mechanics,4,0
CEEM,ENME,E,3106,Dynamics and vibrations,3,0
CEEM,ENME,E,3113,Mechanics of solids,3,0
CEEM,ENME,E,3114,Experimental mechanics of materials,4,0
CEEM,ENME,E,3161,Fluid mechanics,4,0
CEEM,ENME,E,4113,Advanced mechanics of solids,3,0
CEEM,ENME,E,4114,Mechanics of fracture and fatigue,3,0
CEEM,ENME,E,4202,Advanced mechanics,3,0
CEEM,ENME,E,4214,Theory of plates and shells,3,0
CEEM,ENME,E,4215,Theory of vibrations,3,0
CEEM,ENME,E,6220,Random processes in mechanics,3,0
CEEM,ENME,E,6315,Theory of elasticity,3,0
CEEM,ENME,E,8320,Viscoelasticity and plasticity,4,0
CEEM,ENME,E,8323,Nonlinear vibrations,3,0
CEEM,GRAP,E,1115,Engineering graphics,3,0
CEEM,GRAP,E,3115,Advanced computer modeling and animation,3,0
CEEM,GRAP,E,4005,Computer graphics in engineering,3,0
CHEM,CHEM,W,2408,First-Year Seminar in Chemical Research,1,0
CHEM,CHEM,W,2507,Intensive General Chemistry Laboratory,3,0
CHEM,CHEM,W,3045,Intensive Organic Chemistry I (Lecture),3.5,0
CHEM,CHEM,W,3079,Physical Chemistry I,4,0
CHEM,CHEM,W,3085,Physical and Analytical Chemistry Laboratory I,4,0
CHEM,CHEM,W,3098,Supervised Independent Research,4,0
CHEM,BIOC,C,3501,"Biochemistry, I: Structure and Metabolism",4,0
CHEM,BIOC,C,3512,Molecular Biology,3,0
CHEM,CHEM,W,3545,Intensive Organic Chemistry Laboratory,3,0
CHEM,CHEM,W,3546,Advanced Organic Chemistry Laboratory,3,0
CHEM,CHEM,BC,3357,Biochemistry Laboratory Techniques,3,0
CHEM,CHEM,W,3920,Senior Seminar in Chemical Research,2,0
CHEM,BIOC,G,4170,Biophysical Chemistry,4.5,0
CLAS,GREK,V,1101,Elementary Greek I,4,0
CLAS,GREK,V,1102,Elementary Greek II,4,0
CLAS,GREK,V,1121,Intensive Elementary Greek,4,0
CLAS,GREK,V,1202,Intermediate Greek II: Homer,4,0
CLAS,GREK,V,3309,Selections fr. Greek Lit: Euripides,3,0
CLAS,GREK,V,3310,Selections from Greek Literature II: Homer & Hesiod,3,0
CLAS,GREK,V,3996,The Major Seminar,3,0
CLAS,GREK,V,3997,Directed Readings,3,0
CLAS,GREK,V,3998,Supervised Research,3,0
CLAS,GREK,W,4009,Presocratics & Sophists,3,0
CLAS,GREK,W,4010,Selections from Greek Literature: Thucydides,3,0
CLAS,GREK,W,4105,History of Greek Literature I,4,0
CLAS,GREK,W,4106,History of Greek Literature II,4,0
CLAS,GREK,W,4139,Elements of Prose Style,3,0
CLAS,LATN,V,1101,Elementary Latin I,4,0
CLAS,LATN,V,1102,Elementary Latin II,4,0
CLAS,LATN,V,1120,Preparation for Intermediate Latin,4,0
CLAS,LATN,V,1121,Intensive Elementary Latin,4,0
CLAS,LATN,V,1201,Intermediate Latin I,4,0
CLAS,LATN,V,1202,Intermediate Latin II,4,0
CLAS,LATN,V,3012,Augustan Poetry,3,0
CLAS,LATN,V,3033,Medieval Language and Literature,3,0
CLAS,LATN,V,3309,Latin Literature Selections: Pliny,3,0
CLAS,LATN,V,3310,Selections from Latin Literature: Vergil,3,0
CLAS,LATN,V,3996,The Major Seminar,3,0
CLAS,LATN,V,3997,Directed Readings in Latin Literature,3,0
CLAS,LATN,V,3998,Supervised Research in Latin Literature,3,0
CLAS,LATN,W,4009,Selections from Latin Literature: Statius,3,0
CLAS,LATN,W,4010,Selections from Latin Literature: Cicero,3,0
CLAS,LATN,W,4105,Latin Literature of the Republic,4,0
CLAS,LATN,W,4106,Latin Literature of the Empire,4,0
CLAS,LATN,W,4139,Elements of Prose Style,3,0
CLAS,LATN,W,4152,Medieval Latin Literature: Poetry,3,0
CLAS,GRKM,V,1101,Elementary Modern Greek I,4,0
CLAS,GRKM,V,1201,Intermediate Modern Greek I,4,0
CLAS,GRKM,V,3308,Athens,3,0
CLAS,GRKM,V,3997,Directed Readings,1,4
CLAS,GRKM,V,3998,Senior Research Seminar,1,4
COCI,COCI,C,1101,Introduction To Contemporary Civilization,4,0
COMS,COMS,W,1004,Introduction to Computer Science and Programming in Java,3,0
COMS,COMS,W,1007,Honors Introduction to Computer Science,3,0
COMS,COMS,W,3101,Programming Languages,1,0
COMS,COMS,W,3134,Data Structures in Java,3,0
COMS,COMS,W,3137,Honors Data Structures and Algorithms,4,0
COMS,COMS,W,3203,Discrete Mathematics: Introduction to Combinatorics and Graph Theory,3,0
COMS,COMS,W,3210,Scientific Computation,3,0
COMS,COMS,W,3251,Computational Linear Algebra,3,0
COMS,COMS,W,3261,Computer Science Theory,3,0
COMS,COMS,W,3902,Undergraduate Thesis,1,6
COMS,COMS,W,3995,Special Topics in Computer Science,3,0
COMS,COMS,W,3998,Undergraduate Projects in Computer Science,1,3
COMS,COMS,W,4111,Introduction to Databases,3,0
COMS,COMS,W,4115,Programming Languages and Translators,3,0
COMS,COMS,W,4118,Operating Systems I,3,0
COMS,CSEE,W,4119,Computer Networks,3,0
COMS,COMS,W,4156,Advanced Software Engineering,3,0
COMS,COMS,W,4160,Computer Graphics,3,0
COMS,COMS,W,4170,User Interface Design,3,0
COMS,COMS,W,4180,Network Security,3,0
COMS,COMS,W,4203,Graph Theory,3,0
COMS,COMS,W,4205,Combinatorial Theory,3,0
COMS,CSOR,W,4231,Analysis of Algorithms I,3,0
COMS,COMS,W,4236,Introduction to Computational Complexity,3,0
COMS,COMS,W,4241,Numerical Algorithms and Complexity,3,0
COMS,COMS,W,4701,Artificial Intelligence,3,0
COMS,COMS,W,4705,Natural Language Processing,3,0
COMS,COMS,W,4725,Knowledge Representation and Reasoning,3,0
COMS,COMS,W,4731,Computer Vision,3,0
COMS,COMS,W,4733,Computational Aspects of Robotics,3,0
COMS,COMS,W,4735,Visual Interfaces to Computers,3,0
COMS,COMS,W,4771,Machine Learning,3,0
COMS,CSEE,W,4824,Computer Architecture,3,0
COMS,CSEE,E,6861,Computer-Aided Design of Digital Systems,3,0
COMS,COMS,W,4901,Projects in Computer Science,1,3
COMS,COMS,W,4995,"Special Topics in Computer Science, I",3,0
COMS,COMS,W,4996,"Special Topics in Computer Science, II",3,0
DANB,DNCE,BC,2501,Biomechanics for the Dancer: Theory and Practice,3,0
DANB,DNCE,BC,2555,Ensemble Dance Repertory (Modern Dance),3,0
DANB,DNCE,BC,2561,Kinesiology: Applied Anatomy for Human Movement,3,0
DANB,DNCE,BC,2562,Movement Analysis,3,0
ELEN,ELEN,E,1201,Introduction to electrical engineering,3.5,0
ELEN,ELEN,E,3106,Solid-state devices and materials,3.5,0
ELEN,ELEN,E,3201,Circuit analysis,3.5,0
ELEN,ELEN,E,3801,Signals and systems,3.5,0
ELEN,ELEN,E,3331,Electronic circuits,3,0
ELEN,ELEN,E,3401,Electromagnetics,4,0
ELEN,EEME,E,3601,Classical control systems,3,0
ELEN,ELEN,E,3701,Introduction to communication systems,3,0
ELEN,ELEN,E,3998,Projects in electrical engineering,0,0
ENCL,ENGL,W,4211,Milton,3,0
ENCL,ENGL,W,3391,Topics In Literary Theory: Reading Freud,3,0
DANB,DNCE,BC,2563,Dance Composition: Form,3,0
DANB,DNCE,BC,2564,Dance Composition: Content,3,0
DANB,DNCE,BC,2565,World Dance History,3,0
DANB,DNCE,BC,3001,Western Theatrical Dance from the Renaissance to the 1960s,3,0
DANB,DNCE,BC,2567,Music for Dance,3,0
DANB,DNCE,BC,2570,Dance in New York City,3,0
DANB,DNCE,BC,3009,Independent Study,1,4
DANB,DNCE,BC,3565,Composition: Collaboration and the Creative Process,3,0
DANB,DNCE,BC,3570,Latin American and Caribbean Dance: Identities in Motion,3,0
DANB,DNCE,BC,3602,Rehearsal and Performance in Dance,1,3
DANB,DNCE,BC,3591,Senior Seminar in Dance,4,0
DANB,DNCE,BC,3592,Senior Project: Research for Dance,4,0
DANB,DNCE,BC,3593,Senior Project: Repertory for Dance,3,0
DANB,DNCE,BC,1135,"Ballet, I: Beginning",1,0
DANB,DNCE,BC,1137,"Ballet, II: Advanced Beginning",1,0
DANB,DNCE,BC,2137,"Ballet, III: Intermediate",1,0
DANB,DNCE,BC,2139,"Ballet, IV: High Intermediate",1,0
DANB,DNCE,BC,3138,"Ballet, V: Advanced",1,0
DANB,DNCE,BC,3140,"Ballet, VI: Advanced Ballet with Pointe",1,0
DANB,DNCE,BC,3150,Advanced Studio: Ballet or Modern,1,0
DANB,DNCE,BC,1247,"Jazz, I: Beginning",1,0
DANB,DNCE,BC,1445,"Tap, I: Beginning",1,0
DANB,DNCE,BC,2248,"Jazz, II: Intermediate",1,0
DANB,DNCE,BC,2252,African Dance I,1,0
DANB,DNCE,BC,2253,African Dance II,1,0
DANB,DNCE,BC,2447,"Tap, II: Intermediate",1,0
DANB,DNCE,BC,3249,"Jazz, III: Advanced Jazz Dance",1,0
DANB,DNCE,BC,1330,"Modern, I: Beginning Modern Dance",1,0
DANB,DNCE,BC,1332,"Modern, II: Advanced Beginning Modern Dance",1,0
DANB,DNCE,BC,2332,"Modern, III: Intermediate Modern Dance",1,0
DANB,DNCE,BC,2334,"Modern, IV: High Intermediate Modern Dance",1,0
DANB,DNCE,BC,3335,"Modern, VI: High Advanced Modern Dance",1,0
EAEE,EAEE,E,2100,A better planet by design,3,0
EAEE,EAEE,E,3101,Earth resource production systems,3,0
EAEE,EAEE,E,3112,Introduction to rock mechanics,3,0
EAEE,EAEE,E,3185,Summer fieldwork for earth and environmental engineers,0.5,0
EAEE,EAEE,E,3221,Environmental geophysics,3,0
EAEE,EAEE,E,3998,Undergraduate design project,0,0
EAEE,EAEE,E,4001,Industrial ecology of earth resources,3,0
EAEE,EAEE,E,4003,Introduction to aquatic chemistry,3,0
EAEE,EAEE,E,4005,Near-surface engineering geophysics,3,0
EAEE,EAEE,E,4007,Environmental geophysics field studies,3,0
EAEE,EAEE,E,4011,Industrial ecology for manufacturing,3,0
EAEE,EAEE,E,4101,Introduction to particle technology,3,0
EAEE,EAEE,E,4150,Air pollution prevention and control,3,0
EAEE,EAEE,E,4160,Solid and hazardous waste management,3,0
EAEE,EAEE,E,4200,Production of inorganic materials,3,0
EAEE,EAEE,E,4241,Solids handling and transport systems,3,0
EAEE,EAEE,E,4361,Economics of earth resource industries,3,0
EAEE,EAEE,E,3200,Applied transport and chemical rate phenomena,3,0
EAEE,EAEE,E,6132,Numerical methods in geomechanics,3,0
EAEE,EAEE,E,6151,Applied geophysics,3,0
EAEE,EAEE,E,6200,Theory and applications of extreme value statistics in engineering and earth sciences,3,0
EAEE,EAEE,E,6210,Quantitative environmental risk analysis,3,0
EAEE,EAEE,E,6220,Remedial and corrective action,3,0
EAEE,EAEE,E,6228,Theory of flotation,3,0
EAEE,EAEE,E,6255,Methods and applications of analytical decision making in mineral industries,3,0
EAEE,EAEE,E,8229,Selected topics in processing minerals and wastes,3,0
EAEE,EAEE,E,8231,Selected topics in hydro- and electrometallurgy,3,0
EAEE,EAEE,E,8233,Research topics in particle processing,0,0
EAEE,EAEE,E,9271,Earth and environmental engineering thesis,0,0
EAEE,EAEE,E,9273,Earth and environmental engineering reports,0,0
EAEE,EAEE,E,9305,Earth and environmental engineering research,0,0
EAEE,EAEE,E,9800,Doctoral research instruction,0,0
EAEE,EAEE,E,9900,Doctoral dissertation,0,0
EALC,HSEA,W,4893,Family in Chinese History,3,0
EALC,HSEA,W,3898,The Mongols in History,3,0
EALC,HSEA,W,3880,History of Modern China I,3,0
EALC,HSEA,W,3871,Modern Japan: Images and Words,3,0
EALC,CHNS,W,1011,Introductory Chinese B,2.5,0
EALC,CHNS,C,1101,First-Year Chinese I - II (N),5,0
EALC,CHNS,C,1111,First-Year Chinese I and II (W),5,0
EALC,CHNS,C,1201,Second-Year Chinese I and II (N),5,0
EALC,CHNS,C,1221,Second-Year Chinese I and II (W),5,0
EALC,CHNS,W,3301,Introduction To Classical Chinese,3,0
EALC,CHNS,W,4003,Third-Year Chinese I and II (N),5,0
EALC,CHNS,W,4005,Third-Year Chinese I and II (W),5,0
EALC,CHNS,W,4007,Readings in Classical Chinese,4,0
EALC,CHNS,G,4015,Fourth-Year Chinese I and II (N),4,0
EALC,CHNS,W,4017,Readings In Modern Chinese I and II (W) (Level 4),4,0
EALC,CHNS,G,6010,Intro History of Chinese Literature - Jin Ping Mei,3,0
EALC,EAAS,W,4360,Kurosawa Seminar,4,0
EALC,JPNS,W,1001,Introductory Japanese A and B,2.5,0
EALC,JPNS,C,1101,First-Year Japanese,5,0
EALC,JPNS,C,1201,Second-Year Japanese,5,0
EALC,JPNS,W,4005,Third-Year Japanese,5,0
EALC,JPNS,W,4007,Introduction To Classical Japanese,4,0
EALC,JPNS,W,4017,Fourth-Year Japanese,4,0
EALC,JPNS,W,4019,Kanbun,3,0
EALC,KORN,W,1201,Second-Year Korean I and II,5,0
EALC,KORN,W,4005,Third-Year Korean I and II,5,0
EALC,KORN,W,4105,Fourth-Year Korean I and II,4,0
ECON,ECON,W,1105,Principles of Economics,4,0
ECON,ECON,W,3211,Intermediate Microeconomics,3,0
ECON,ECON,W,3213,Intermediate Macroeconomics,3,0
ECON,ECON,W,3412,Introduction To Econometrics,3,0
ECON,ECON,V,3025,Financial Economics,3,0
ECON,ECON,V,3265,Economics of Money and Banking,3,0
ECON,ECON,W,4020,Economics of Uncertainty and Information,3,0
ECON,ECON,W,4228,Urban Economics,3,0
ECON,ECON,G,4235,Historical Foundations of Modern Economics: Adam Smith to J.M. Keynes,3,0
ECON,ECON,W,4251,Industrial Organization,3,0
ECON,ECON,W,4321,Economic Development,3,0
ECON,ECON,W,4325,Economic Organization and Development of Japan,3,0
ECON,ECON,W,4370,Political Economy,3,0
ECON,ECON,W,4400,Labor Economics,3,0
ECON,ECON,W,4415,Game Theory,3,0
ECON,ECON,W,4438,Economics of Race in the U.S.,3,0
ECON,ECON,W,4465,Public Economics,3,0
ECON,ECON,W,4500,International Trade,3,0
ECON,ECON,W,4505,International Macroeconomics,3,0
ECON,ECON,G,4526,"Transition Reforms, Globalization and Financial Crisis",3,0
ECON,ECON,G,4527,Economic Organization and Development of China,3,0
ECON,ECON,W,4625,Economics of the Environment,3,0
ECON,ECON,W,4996,Research Course,1,2
ECON,ECON,W,4997,Independent Study,1,4
